City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,Thongwa,16.7619,96.5278,84.36,62,51,10.04,MM,2022-04-17 16:44:53
115,Teahupoo,-17.8333,-149.2667,71.56,75,32,14.05,PF,2022-04-17 16:44:53
116,Valleyview,55.0667,-117.2859,33.64,51,98,5.7,CA,2022-04-17 16:42:36
117,Batagay-Alyta,67.8006,130.4114,-5.53,100,83,4.76,RU,2022-04-17 16:44:53
118,Ostrovnoy,68.0531,39.5131,34.21,94,100,21.81,RU,2022-04-17 16:44:54
119,Kuala Terengganu,5.3302,103.1408,84.15,79,20,2.3,MY,2022-04-17 16:44:54
120,Pechora,65.1472,57.2244,28.11,95,86,6.82,RU,2022-04-17 16:44:54
121,Mar Del Plata,-38.0023,-57.5575,68.02,84,40,8.05,AR,2022-04-17 16:42:23
122,Kirchhundem,51.1,8.1,54.86,43,0,7.85,DE,2022-04-17 16:44:55
123,Luderitz,-26.6481,15.1594,66.67,65,0,10.33,NA,2022-04-17 16:44:55
124,Talnakh,69.4865,88.3972,9.21,96,100,7.81,RU,2022-04-17 16:44:55
125,Pozo Colorado,-23.4923,-58.7972,78.64,39,78,2.71,PY,2022-04-17 16:44:56
126,Nikolskoye,59.7035,30.7861,40.91,75,90,3.78,RU,2022-04-17 16:44:56
127,Terrace Bay,48.7834,-87.1,24.94,77,69,4.9,CA,2022-04-17 16:44:56
128,Cockburn Town,21.4612,-71.1419,80.56,74,75,17.27,TC,2022-04-17 16:41:27
129,Hami,42.8,93.45,58.21,16,0,7.11,CN,2022-04-17 16:44:50
130,Taoudenni,22.6783,-3.9836,89.8,15,0,16.51,ML,2022-04-17 16:44:57
131,Airai,-8.9266,125.4092,60.48,91,100,1.9,TL,2022-04-17 16:43:47
132,Bud,39.447,-86.1758,47.91,48,91,11.68,US,2022-04-17 16:44:57
133,Honningsvag,70.9821,25.9704,40.75,93,100,24.16,NO,2022-04-17 16:44:58
134,Novyy Urengoy,66.0833,76.6333,9.1,88,53,11.12,RU,2022-04-17 16:45:58
135,Ranong,9.9658,98.6348,80.15,86,59,1.92,TH,2022-04-17 16:45:58
136,Coro,11.4045,-69.6734,85.17,64,98,8.19,VE,2022-04-17 16:45:59
137,Geraldton,-28.7667,114.6,57.61,72,15,12.66,AU,2022-04-17 16:45:59
138,Kenai,60.5544,-151.2583,35.15,83,100,0.0,US,2022-04-17 16:45:59
139,Puerto Ayora,-0.7393,-90.3518,78.76,84,93,8.97,EC,2022-04-17 16:46:00
140,Aripuana,-9.1667,-60.6333,79.43,89,98,3.2,BR,2022-04-17 16:46:00
141,Margate,51.3813,1.3862,58.87,62,75,3.0,GB,2022-04-17 16:46:00
142,Vaini,-21.2,-175.2,77.16,94,40,4.61,TO,2022-04-17 16:46:01
143,Mitla,16.9167,-96.4,83.16,18,22,4.16,MX,2022-04-17 16:46:01
144,Taywarah,33.35,64.4167,52.32,52,97,4.18,AF,2022-04-17 16:46:01
145,Port Lincoln,-34.7333,135.8667,62.17,79,100,11.92,AU,2022-04-17 16:46:02
146,Labytnangi,66.6572,66.4183,10.74,87,72,6.22,RU,2022-04-17 16:46:02
147,Cascais,38.6979,-9.4215,69.66,58,20,25.32,PT,2022-04-17 16:42:56
148,Listvyanskiy,54.4399,83.4984,49.37,78,99,6.49,RU,2022-04-17 16:46:03
149,Victoria,22.2855,114.1577,73.18,77,97,5.99,HK,2022-04-17 16:45:59
150,Rabat,33.9911,-6.8401,82.04,67,0,8.05,MA,2022-04-17 16:46:03
151,Uthal,25.8072,66.6219,82.81,73,12,7.16,PK,2022-04-17 16:46:03
152,Porto Novo,6.4965,2.6036,85.15,70,74,11.48,BJ,2022-04-17 16:45:25
153,Bilibino,68.0546,166.4372,12.36,96,100,2.19,RU,2022-04-17 16:46:04
154,Saskylakh,71.9167,114.0833,27.05,96,100,19.28,RU,2022-04-17 16:41:47
155,Corrales,35.2378,-106.6067,69.3,19,0,15.01,US,2022-04-17 16:46:04
156,Burnie,-41.0667,145.9167,57.33,91,100,6.6,AU,2022-04-17 16:46:05
157,San Patricio,28.017,-97.5169,85.15,54,84,12.37,US,2022-04-17 16:46:05
158,Narsaq,60.9167,-46.05,35.82,79,100,4.61,GL,2022-04-17 16:46:06
159,Hualmay,-11.0964,-77.6139,71.85,71,42,10.25,PE,2022-04-17 16:46:06
160,Tiksi,71.6872,128.8694,-7.73,98,46,2.77,RU,2022-04-17 16:46:06
161,Dikson,73.5069,80.5464,4.89,97,100,11.48,RU,2022-04-17 16:43:53
162,Axim,4.8699,-2.2405,81.01,80,95,10.71,GH,2022-04-17 16:46:07
163,Sao Joao Da Barra,-21.6403,-41.0511,78.89,60,9,13.78,BR,2022-04-17 16:46:07
164,Manaus,-3.1019,-60.025,79.3,94,40,2.3,BR,2022-04-17 16:45:16
