City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
384,Ouidah,6.3631,2.0851,84.06,80,100,9.73,BJ,light rain
385,Muborak,39.2553,65.1528,73.27,34,78,12.71,UZ,broken clouds
386,Rapid Valley,44.0625,-103.1463,49.32,33,0,35.68,US,clear sky
387,Castelnaudary,43.3183,1.9545,60.17,71,100,13.69,FR,overcast clouds
388,Progreso,21.2833,-89.6667,91.51,71,0,17.11,MX,clear sky
389,Riberalta,-10.9833,-66.1,82.6,78,75,9.22,BO,broken clouds
390,Araguacu,-12.9306,-49.8264,75.47,86,62,1.45,BR,broken clouds
391,Am Timan,11.0297,20.2827,89.89,34,72,3.4,TD,broken clouds
392,Mananjary,-21.2167,48.3333,72.45,93,18,2.73,MG,light rain
393,Surt,31.2089,16.5887,61.07,79,0,9.93,LY,clear sky
394,Provideniya,64.3833,-173.3,32.36,93,100,20.13,RU,snow
395,Wuwei,37.9281,102.6414,38.98,39,55,1.77,CN,broken clouds
396,Lata,40.1629,-8.3327,56.91,97,62,0.94,PT,broken clouds
397,Kamalpur,24.2,91.8333,71.11,97,12,3.04,IN,few clouds
398,Abu Kamal,34.4506,40.9171,70.83,17,100,6.82,SY,overcast clouds
399,Santiago,-33.4569,-70.6483,71.04,42,0,14.97,CL,clear sky
400,Nykoping,58.753,17.0079,41.29,65,0,2.3,SE,clear sky
401,San Diego,32.7153,-117.1573,77.72,70,0,19.57,US,clear sky
402,Farafangana,-22.8167,47.8333,72.93,90,53,3.44,MG,light rain
403,Meulaboh,4.1363,96.1285,77.25,89,98,3.02,ID,overcast clouds
404,Naze,28.3667,129.4833,61.72,56,50,4.92,JP,scattered clouds
405,Srandakan,-7.9386,110.2506,77.02,89,100,4.52,ID,overcast clouds
406,Lukovetskiy,64.2956,41.9211,33.01,97,100,4.94,RU,overcast clouds
407,Kenai,60.5544,-151.2583,45.03,58,100,3.44,US,overcast clouds
408,Kloulklubed,7.0419,134.2556,82.17,72,99,2.55,PW,overcast clouds
409,Galbshtadt,53.2264,78.9845,48.42,73,93,8.84,RU,overcast clouds
410,Yulara,-25.2406,130.9889,60.64,51,3,8.05,AU,clear sky
411,Ponferrada,42.5466,-6.5962,55.22,73,21,1.01,ES,few clouds
412,Dickinson,29.4608,-95.0513,87.1,72,40,12.66,US,scattered clouds
413,Miyako,39.6367,141.9525,53.44,56,43,2.84,JP,scattered clouds
414,Shimoda,34.6667,138.95,55.11,80,100,8.46,JP,overcast clouds
415,Tromso,69.6496,18.957,42.82,81,75,12.66,NO,broken clouds
416,Kahului,20.8947,-156.47,82.42,64,40,16.11,US,scattered clouds
417,Vrangel,42.7297,133.0839,44.13,72,41,4.34,RU,scattered clouds
418,Uyuni,-20.4597,-66.825,49.03,12,0,15.61,BO,clear sky
419,Paris,48.8534,2.3488,58.14,50,0,6.91,FR,clear sky
420,Kununurra,-15.7667,128.7333,76.98,94,28,3.44,AU,scattered clouds
421,Salym,60.0625,71.4789,25.0,97,70,4.5,RU,broken clouds
422,Winnemucca,40.973,-117.7357,64.45,11,0,8.05,US,clear sky
423,Whyalla,-33.0333,137.5833,62.49,94,100,5.75,AU,overcast clouds
424,Beringovskiy,63.05,179.3167,31.03,98,100,9.4,RU,light snow
425,Tual,-5.6667,132.75,84.54,73,100,11.5,ID,overcast clouds
426,Seoul,37.5683,126.9778,51.4,62,75,6.91,KR,broken clouds
427,Hebi,35.8992,114.1925,55.44,51,47,3.2,CN,scattered clouds
428,Rockford,42.2711,-89.094,46.49,47,75,9.22,US,broken clouds
429,New Iberia,30.0035,-91.8187,82.06,70,33,12.12,US,scattered clouds
430,Moyale,3.5167,39.0584,72.27,64,100,0.45,KE,light rain
431,Ostrovnoy,68.0531,39.5131,33.22,89,100,10.74,RU,overcast clouds
432,Broome,42.2506,-75.833,43.14,46,89,7.0,US,overcast clouds
433,Dingle,10.9995,122.6711,77.92,85,81,8.1,PH,broken clouds
434,Black River,18.0264,-77.8487,79.66,74,14,4.54,JM,few clouds
435,Cap-Aux-Meules,47.3821,-61.8597,35.62,93,75,26.46,CA,mist
436,Saint-Pie,45.5001,-72.8991,45.81,61,90,5.75,CA,overcast clouds
